City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Boguchany,RU,2022-10-09 18:18:27,58.3814,97.4531,38.89,88,71,2.55
1,Puerto Ayora,EC,2022-10-09 18:18:27,-0.7393,-90.3518,75.16,82,88,8.99
2,Ginda,IN,2022-10-09 18:18:28,30.6945,78.4932,59.88,85,68,1.5
3,Padmanabhapuram,IN,2022-10-09 18:18:28,8.2333,77.3333,77.74,85,94,6.42
4,Hobart,AU,2022-10-09 18:18:18,-42.8794,147.3294,43.05,86,31,8.05
5,Rikitea,PF,2022-10-09 18:18:28,-23.1203,-134.9692,71.28,72,9,17.65
6,Bluff,NZ,2022-10-09 18:18:29,-46.6,168.3333,50.41,78,100,10.85
7,Vardo,NO,2022-10-09 18:18:29,70.3705,31.1107,42.78,75,0,19.57
8,Chalchihuites,MX,2022-10-09 18:18:29,23.4833,-103.8833,67.14,46,5,2.64
9,Datong,CN,2022-10-09 18:18:30,40.0936,113.2914,34.38,35,0,5.57
10,Staryy Nadym,RU,2022-10-09 18:18:30,65.6118,72.6842,43.02,91,100,16.51
11,Yudong,CN,2022-10-09 18:18:31,29.385,106.5194,62.49,68,100,2.95
12,Aban,RU,2022-10-09 18:18:31,56.67,96.06,42.48,79,80,7.05
13,Hobyo,SO,2022-10-09 18:18:32,5.3505,48.5268,78.01,86,46,23.02
14,Shelburne,CA,2022-10-09 18:18:32,44.0787,-80.2041,54.3,58,61,10.11
15,Airai,TL,2022-10-09 18:18:32,-8.9266,125.4092,61.27,86,90,2.26
16,Ust-Nera,RU,2022-10-09 18:18:33,64.5667,143.2,13.78,96,100,6.13
17,Qaanaaq,GL,2022-10-09 18:18:33,77.484,-69.3632,9.41,73,53,10.56
18,Yaan,NG,2022-10-09 18:18:33,7.3833,8.5667,73.33,94,100,3.38
19,Port Alfred,ZA,2022-10-09 18:18:34,-33.5906,26.891,65.17,86,51,5.68
20,Xiangfan,CN,2022-10-09 18:18:34,32.0422,112.1448,51.13,42,53,5.86
21,Etaples,FR,2022-10-09 18:18:35,50.5219,1.6332,55.27,76,0,5.75
22,Jamestown,US,2022-10-09 18:18:35,42.097,-79.2353,60.03,41,100,16.11
23,Chokurdakh,RU,2022-10-09 18:18:35,70.6333,147.9167,17.8,93,98,12.1
24,Kapaa,US,2022-10-09 18:18:36,22.0752,-159.319,78.78,84,0,5.75
25,Valdivia,CL,2022-10-09 18:18:57,-39.8142,-73.2459,60.89,36,3,4.97
26,Portland,US,2022-10-09 18:18:34,45.5234,-122.6762,76.46,61,0,3.44
27,Ribeira Grande,PT,2022-10-09 18:18:58,38.5167,-28.7,77.77,83,40,13.8
28,Suntar,RU,2022-10-09 18:18:58,62.1444,117.6319,33.51,98,100,7.92
29,Mataura,NZ,2022-10-09 18:18:59,-46.1927,168.8643,44.89,89,100,3.49
30,Dikson,RU,2022-10-09 18:18:59,73.5069,80.5464,31.8,94,100,18.21
31,Punta Arenas,CL,2022-10-09 18:16:43,-53.15,-70.9167,55.51,44,0,54.09
32,Tessalit,ML,2022-10-09 18:19:00,20.1986,1.0114,94.59,13,15,10.02
33,Ekibastuz,KZ,2022-10-09 18:19:00,51.6667,75.3667,46.04,80,99,15.39
34,Cidreira,BR,2022-10-09 18:19:00,-30.1811,-50.2056,60.42,52,97,12.68
35,Vila Velha,BR,2022-10-09 18:19:01,-20.3297,-40.2925,84.15,65,0,18.41
36,Morehead,US,2022-10-09 18:19:01,37.2711,-87.1764,65.98,36,0,3.44
37,Atuona,PF,2022-10-09 18:19:02,-9.8,-139.0333,76.86,67,65,18.39
38,Salinopolis,BR,2022-10-09 18:19:02,-0.6136,-47.3561,84.94,69,32,14.67
39,Fort Saint James,CA,2022-10-09 18:19:03,54.4333,-124.25,57.67,52,53,2.13
40,Okhotsk,RU,2022-10-09 18:19:04,59.3833,143.3,25.25,61,28,9.42
41,Alvand,IR,2022-10-09 18:19:04,36.3187,49.1678,58.89,32,15,3.89
42,Busselton,AU,2022-10-09 18:19:05,-33.65,115.3333,54.25,86,98,9.46
43,Zhangye,CN,2022-10-09 18:19:05,38.9342,100.4517,42.57,21,38,3.56
44,Sungaipenuh,ID,2022-10-09 18:19:06,-2.0833,101.3833,62.91,91,100,3.13
45,Semnan,IR,2022-10-09 18:20:06,35.5729,53.3971,65.98,26,0,0.43
46,Saint-Philippe,RE,2022-10-09 18:20:07,-21.3585,55.7679,69.39,72,8,12.93
47,Raymond,US,2022-10-09 18:20:07,43.9015,-70.4703,60.62,59,84,10.85
48,Port Elizabeth,ZA,2022-10-09 18:20:08,-33.918,25.5701,66.09,90,20,5.75
49,Dingle,PH,2022-10-09 18:20:08,10.9995,122.6711,75.67,89,79,4.14
50,Vao,NC,2022-10-09 18:20:08,-22.6667,167.4833,72.86,77,54,22.66
51,Coffs Harbour,AU,2022-10-09 18:20:09,-30.3,153.1333,57.16,82,40,10.36
52,Bredasdorp,ZA,2022-10-09 18:20:09,-34.5322,20.0403,59.29,95,91,6.53
53,Valparaiso,CL,2022-10-09 18:16:57,-33.0393,-71.6273,71.83,61,0,16.11
54,Norman Wells,CA,2022-10-09 18:20:10,65.282,-126.8329,44.64,81,75,5.75
55,Burkburnett,US,2022-10-09 18:20:11,34.0979,-98.5706,71.06,54,0,5.75
56,Homer,US,2022-10-09 18:15:47,59.6425,-151.5483,46.8,74,100,28.99
57,Saint-Joseph,RE,2022-10-09 18:20:11,-21.3667,55.6167,68.38,71,19,11.03
58,Nyanguge,TZ,2022-10-09 18:20:12,-2.55,33.2,75.54,53,100,6.29
59,New Norfolk,AU,2022-10-09 18:20:12,-42.7826,147.0587,42.71,72,71,3.33
60,Amapa,BR,2022-10-09 18:20:13,1.0,-52.0,86.76,52,54,5.1
61,Nouadhibou,MR,2022-10-09 18:20:14,20.931,-17.0347,73.38,83,43,18.41
62,Vaini,TO,2022-10-09 18:20:14,-21.2,-175.2,73.56,94,100,14.97
63,Ushuaia,AR,2022-10-09 18:20:14,-54.8,-68.3,47.86,66,40,20.71
64,Camana,PE,2022-10-09 18:20:15,-16.6228,-72.7111,65.5,66,5,8.16
65,Albany,US,2022-10-09 18:18:44,42.6001,-73.9662,61.21,48,62,1.01
66,Morros,BR,2022-10-09 18:20:15,-9.4467,-46.3003,103.19,15,39,12.95
67,Deputatskiy,RU,2022-10-09 18:20:16,69.3,139.9,9.36,93,100,6.22
68,Kaitangata,NZ,2022-10-09 18:20:17,-46.2817,169.8464,45.18,88,65,5.08
69,Kavieng,PG,2022-10-09 18:20:17,-2.5744,150.7967,80.74,67,94,12.91
70,Santa Maria,BR,2022-10-09 18:20:18,-29.6842,-53.8069,60.1,44,40,5.75
71,Provideniya,RU,2022-10-09 18:20:18,64.3833,-173.3,30.94,65,59,10.22
72,Terrenate,MX,2022-10-09 18:20:19,19.4833,-97.9167,50.76,88,97,6.42
73,Hualmay,PE,2022-10-09 18:20:19,-11.0964,-77.6139,68.22,69,37,10.4
74,Longyearbyen,SJ,2022-10-09 18:20:20,78.2186,15.6401,37.24,81,75,14.97
75,Dauphin,CA,2022-10-09 18:16:10,51.1494,-100.0502,53.74,62,0,2.3
76,Cape Town,ZA,2022-10-09 18:17:41,-33.9258,18.4232,68.41,73,0,17.27
77,Tarsus,TR,2022-10-09 18:20:20,36.9188,34.8784,71.98,59,2,3.76
78,Hermanus,ZA,2022-10-09 18:19:26,-34.4187,19.2345,63.81,78,99,12.12
79,Atascadero,US,2022-10-09 18:20:21,35.4894,-120.6707,73.69,51,0,1.92
80,Oskemen,KZ,2022-10-09 18:20:21,49.9565,82.6119,49.96,53,75,2.24
81,Saint George,US,2022-10-09 18:20:22,37.1041,-113.5841,78.94,31,0,3.44
82,Nuuk,GL,2022-10-09 18:20:22,64.1835,-51.7216,30.81,74,75,20.71
83,Tuktoyaktuk,CA,2022-10-09 18:20:23,69.4541,-133.0374,35.6,100,75,5.75
84,Sekoma,BW,2022-10-09 18:20:23,-24.4,23.8833,79.3,14,3,5.41
85,San Patricio,US,2022-10-09 18:20:23,28.017,-97.5169,89.55,41,71,14.54
86,Vyartsilya,RU,2022-10-09 18:20:24,62.1764,30.693,38.61,100,45,5.61
87,Muroto,JP,2022-10-09 18:20:25,33.2833,134.15,75.85,87,95,14.65
88,Mar Del Plata,AR,2022-10-09 18:20:26,-38.0023,-57.5575,55.42,62,75,11.5
89,Khatanga,RU,2022-10-09 18:21:26,71.9667,102.5,1.42,94,66,3.42
90,Barpeta,IN,2022-10-09 18:21:26,26.3167,91.0,75.67,91,99,4.21
91,Meulaboh,ID,2022-10-09 18:21:27,4.1363,96.1285,76.39,87,96,3.76
92,Abu Samrah,SY,2022-10-09 18:21:27,35.3029,37.1841,67.41,58,2,8.88
93,Broken Hill,AU,2022-10-09 18:21:27,-31.95,141.4333,52.12,44,1,8.16
94,Berdigestyakh,RU,2022-10-09 18:21:28,62.0989,126.6992,30.9,98,100,6.76
95,Sibu,MY,2022-10-09 18:21:28,2.3,111.8167,75.51,100,40,0.0
96,Fomboni,KM,2022-10-09 18:21:28,-12.28,43.7425,77.59,66,1,2.93
97,Chapais,CA,2022-10-09 18:21:29,49.7834,-74.8492,37.18,80,98,12.66
98,San Quintin,MX,2022-10-09 18:21:29,30.4833,-115.95,74.12,70,8,7.76
99,Olafsvik,IS,2022-10-09 18:21:30,64.8945,-23.7142,37.78,72,67,28.83
100,Lodja,CD,2022-10-09 18:21:30,-3.4833,23.4333,75.15,67,60,1.86
101,Alofi,NU,2022-10-09 18:19:13,-19.0595,-169.9187,73.29,94,100,9.22
102,Yellowknife,CA,2022-10-09 18:21:31,62.456,-114.3525,46.92,93,75,17.27
103,East London,ZA,2022-10-09 18:21:31,-33.0153,27.9116,63.54,82,20,4.61
104,Port Blair,IN,2022-10-09 18:21:32,11.6667,92.75,80.58,77,78,8.41
105,Hambantota,LK,2022-10-09 18:21:32,6.1241,81.1185,78.37,84,54,12.3
106,Parauna,BR,2022-10-09 18:21:32,-16.9478,-50.4486,69.12,85,74,17.22
107,Patea,NZ,2022-10-09 18:21:33,-39.7583,174.4833,47.35,86,7,7.67
108,Fortuna,US,2022-10-09 18:17:27,40.5982,-124.1573,52.14,50,36,3.91
109,Lebu,CL,2022-10-09 18:21:33,-37.6167,-73.65,52.12,63,0,25.28
110,Gondanglegi,ID,2022-10-09 18:21:33,-7.7479,112.0132,76.32,89,100,6.44
111,Shizunai,JP,2022-10-09 18:21:34,42.3339,142.3669,58.14,74,100,21.5
112,Castro,BR,2022-10-09 18:21:34,-24.7911,-50.0119,76.48,51,49,6.04
113,Esperance,AU,2022-10-09 18:21:35,-33.8667,121.9,57.43,88,100,6.35
114,Mackay,AU,2022-10-09 18:20:41,-21.15,149.2,69.67,86,88,12.5
115,Hilo,US,2022-10-09 18:21:05,19.7297,-155.09,84.27,75,0,3.44
116,Hofn,IS,2022-10-09 18:21:35,64.2539,-15.2082,40.12,68,67,30.4
117,Butaritari,KI,2022-10-09 18:21:35,3.0707,172.7902,82.27,73,46,17.13
118,Barrow,US,2022-10-09 18:21:36,71.2906,-156.7887,24.82,93,100,6.91
119,Bambous Virieux,MU,2022-10-09 18:21:36,-20.3428,57.7575,71.85,73,75,11.5
120,Dryden,CA,2022-10-09 18:21:30,49.7833,-92.7503,44.89,57,20,6.91
121,Alamosa,US,2022-10-09 18:21:37,37.4695,-105.87,55.38,54,0,4.61
122,Saint-Pierre,RE,2022-10-09 18:21:37,-21.3393,55.4781,69.48,73,0,3.44
123,Sault Sainte Marie,CA,2022-10-09 18:18:18,46.5168,-84.3333,50.29,47,0,14.97
124,Cedar City,US,2022-10-09 18:18:08,37.6775,-113.0619,71.4,32,0,5.75
125,Banda Aceh,ID,2022-10-09 18:21:38,5.5577,95.3222,78.42,81,96,3.62
126,Gladstone,AU,2022-10-09 18:18:48,-23.85,151.25,66.13,88,40,4.61
127,Ixtapa,MX,2022-10-09 18:21:39,20.7,-105.2,86.23,62,0,6.91
128,Soyo,AO,2022-10-09 18:21:39,-6.1349,12.3689,77.38,83,55,12.01
129,Sitka,US,2022-10-09 18:21:39,57.0531,-135.33,57.09,100,100,16.11
130,Pilar,BR,2022-10-09 18:21:40,-9.5972,-35.9567,84.13,60,71,11.32
131,Yerofey Pavlovich,RU,2022-10-09 18:21:40,53.9667,121.9667,26.01,80,22,2.15
132,Mount Gambier,AU,2022-10-09 18:21:40,-37.8333,140.7667,40.91,100,72,5.75
133,Severo-Kurilsk,RU,2022-10-09 18:21:41,50.6789,156.125,43.03,76,52,13.98
134,Carnarvon,AU,2022-10-09 18:22:41,-24.8667,113.6333,64.8,74,40,21.21
135,Torbay,CA,2022-10-09 18:17:48,47.6666,-52.7314,58.57,65,20,14.97
136,Havre-Saint-Pierre,CA,2022-10-09 18:22:42,50.2334,-63.5986,46.76,66,100,11.5
137,Waipawa,NZ,2022-10-09 18:22:43,-41.4122,175.5153,48.07,76,0,13.53
138,Bamenda,CM,2022-10-09 18:22:43,5.9527,10.1582,63.45,95,92,1.59
139,Mount Isa,AU,2022-10-09 18:22:44,-20.7333,139.5,65.97,27,0,12.66
140,Victoria,HK,2022-10-09 18:22:44,22.2855,114.1577,74.32,62,11,18.99
