City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,52.45,80,8,4.32,clear sky
1,Carnarvon,AU,-24.8667,113.6333,67.91,62,91,21.32,overcast clouds
2,Maierus,RO,45.9,25.5333,51.57,89,81,3.13,broken clouds
3,Nanortalik,GL,60.1432,-45.2371,39.81,96,100,9.1,light rain
4,Hithadhoo,MV,-0.6,73.0833,80.69,77,100,15.68,overcast clouds
5,New Norfolk,AU,-42.7826,147.0587,62.71,52,99,4.0,overcast clouds
6,Avarua,CK,-21.2078,-159.775,77.05,69,75,14.97,broken clouds
7,Ancud,CL,-41.8697,-73.8203,43.27,86,1,4.74,clear sky
8,Puerto Ayora,EC,-0.7393,-90.3518,66.54,90,100,5.99,overcast clouds
9,Port Alfred,ZA,-33.5906,26.891,64.06,86,89,10.8,overcast clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,48.87,74,0,4.0,clear sky
11,Tautira,PF,-17.7333,-149.15,76.8,77,48,11.9,light rain
12,Sitka,US,57.0531,-135.33,55.29,71,75,13.8,broken clouds
13,Hutchinson,US,38.0608,-97.9298,69.75,62,0,0.0,clear sky
14,Skoghall,SE,59.3232,13.4655,51.33,86,9,19.04,clear sky
15,Pochutla,MX,15.7432,-96.4661,81.82,82,12,2.84,few clouds
16,Pacific Grove,US,36.6177,-121.9166,68.23,88,100,6.91,overcast clouds
17,Kapaa,US,22.0752,-159.319,84.18,61,0,9.22,clear sky
18,Cabo San Lucas,MX,22.8909,-109.9124,90.7,70,0,5.99,clear sky
19,Arraial Do Cabo,BR,-22.9661,-42.0278,69.89,97,100,14.58,light rain
20,Voyvozh,RU,62.892,54.9635,43.66,92,100,7.7,overcast clouds
21,Tambilil,PH,5.9622,124.6697,85.89,68,22,3.27,few clouds
22,Puerto Quijarro,BO,-17.7833,-57.7667,65.17,84,100,4.38,overcast clouds
23,Kodiak,US,57.79,-152.4072,49.51,29,0,10.36,clear sky
24,Rikitea,PF,-23.1203,-134.9692,71.55,73,1,13.82,clear sky
25,Abonnema,NG,4.7084,6.7931,75.65,91,100,3.58,overcast clouds
26,Bubanza,BI,-3.1167,29.4,70.77,62,11,3.04,few clouds
27,Calama,CL,-22.4667,-68.9333,57.69,9,0,13.8,clear sky
28,Luderitz,NA,-26.6481,15.1594,65.19,62,100,4.45,overcast clouds
29,Hanna,CA,51.6334,-111.9018,64.85,34,100,3.76,overcast clouds
30,Busselton,AU,-33.65,115.3333,57.22,64,49,21.85,scattered clouds
31,Sao Felix Do Xingu,BR,-6.6447,-51.995,77.85,67,93,2.08,overcast clouds
32,Biak,ID,-0.9131,122.8766,83.05,67,83,4.68,broken clouds
33,Port Lincoln,AU,-34.7333,135.8667,62.87,54,100,15.37,overcast clouds
34,Bulaevo,KZ,54.9056,70.4439,43.59,81,100,9.24,overcast clouds
35,Taltal,CL,-25.4,-70.4833,58.37,74,22,3.91,few clouds
36,Faanui,PF,-16.4833,-151.75,78.76,73,8,16.87,light rain
37,Korla,CN,41.7597,86.1469,53.26,24,0,3.78,clear sky
38,Jalu,LY,29.0331,21.5482,67.57,52,0,7.16,clear sky
39,Airai,TL,-8.9266,125.4092,72.75,52,100,3.24,overcast clouds
40,Bluff,NZ,-46.6,168.3333,57.38,62,100,13.49,moderate rain
41,Tirthahalli,IN,13.7,75.2333,69.19,97,100,1.23,overcast clouds
42,Ostrovnoy,RU,68.0531,39.5131,40.3,81,98,19.82,overcast clouds
43,New Waterford,US,40.8451,-80.6145,52.05,74,58,6.06,broken clouds
44,Fortuna,US,40.5982,-124.1573,58.93,88,100,6.91,overcast clouds
45,Paamiut,GL,61.994,-49.6678,38.61,92,100,24.81,light rain
